wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Cuvée du Lion Châteauneuf-du-Pape,Domaine Tour Saint-Michel,2011.0,4.0,91,51.83,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Château Giscours (Grand Cru Classé),Château Giscours,2017.0,4.2,1587,92.6,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Calcaires,Complices de Loire,2023.0,3.9,159,21.82,4.0,3.5,1.5,4.0,saumur-champigny,"[(3, 'cabernet-franc')]"
Le Petit Mouton de Mouton Rothschild Pauillac,Château Mouton Rothschild,2018.0,4.4,94,190.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Rouge,Côte des Roses,2023.0,4.0,34,7.7,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Grand vin Seigneur,Château de Mercuès,2016.0,4.0,366,48.0,3.0,4.0,1.0,3.5,cahors,"[(9, 'malbec')]"
Morey-Saint-Denis 1er Cru 'Les Ruchots',Domaine Pierre Amiot et Fils,2020.0,4.0,766,64.64,4.5,3.0,1.0,2.5,morey-saint-denis-les-ruchots,"[(14, 'pinot-noir')]"
Clos Prieur Gevrey-Chambertin,Domaine Marc Roy,2014.0,4.3,173,158.0,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Ploussard Viandris Arbois Pupillin,Cellier Saint Benoit,2021.0,4.0,59,64.9,4.5,3.0,1.5,3.0,arbois-pupillin,"[(14, 'pinot-noir'), (174, 'trousseau'), (1374, 'poulsard')]"
Lalande de Pomerol,Château Vieux Chaigneau,2003.0,3.8,1171,50.0,3.0,4.0,1.0,3.0,lalande-de-pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bourgogne Pinot Noir,Christophe Vaudoisey,2019.0,3.7,136,35.69,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Le Palombier Rouge,Georges Vigouroux,2020.0,3.5,404,20.14,4.5,4.5,1.5,4.0,comte-tolosan,Unknown
Morgon,Domaine de Vernus,2021.0,3.7,54,27.0,5.0,1.0,1.0,1.5,morgon,"[(80, 'gamay')]"
Nuits-Saint-Georges Premier Cru 'Aux Boudots',Lucien le Moine,2022.0,4.4,40,144.36,4.5,3.0,1.0,2.5,nuits-saint-georges-aux-boudots,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru,Château Saint-Etienne,2019.0,3.8,160,33.49,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
La Compagnon Corbières,Domaine Ledogar,2021.0,3.7,70,14.13,4.0,4.0,1.0,4.0,corbieres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Grande Sélection Merlot Bordeaux Supérieur,Château Penin,2016.0,3.9,169,33.0,4.0,4.0,1.0,4.0,bordeaux-superieur,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Baux Gigondas,Domaine la Guintrandy,2017.0,4.0,27,32.08,3.5,4.0,1.0,3.5,gigondas,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Châteauneuf-du-Pape Deus Ex Machina,Clos Saint Jean,2018.0,4.5,95,112.5,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Pauillac,Château Tour Sieujean,2017.0,4.0,172,29.54,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bonnes-Mares Grand Cru Grand Cuvée Vieilles Vignes,Dominique Laurent,1998.0,4.5,276,350.0,4.5,3.0,1.0,2.5,bonnes-mares,"[(14, 'pinot-noir')]"
Pinot Noir,Jaffelin,2023.0,3.8,59,18.63,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Beaune 1er Cru 'Les Bressandes',Domaine Pavelot - Jean-Marc et Hughes,2018.0,4.0,149,43.9,4.0,2.5,1.0,2.0,beaune-les-bressandes,"[(14, 'pinot-noir')]"
Cuvée Tradition Saint-Estéphe,Château Saint Corbian,2022.0,3.6,258,39.99,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Pieds Dans le Sable Rouge,Domaine de la Pointe,2024.0,3.8,867,18.58,4.5,4.5,1.5,4.0,landes,Unknown
Nos Racines Faugères,Château de la Liquiere,2020.0,4.1,49,14.16,4.0,4.0,1.0,4.0,faugeres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Monthélie 1er Cru 'Les Riottes',Domaine Potinet-Ampeau,2016.0,3.9,49,30.9,4.0,2.5,1.0,2.0,monthelie-les-riottes,"[(14, 'pinot-noir')]"
l’Air de Rien,Laurence et Rémi Dufaitre,2022.0,3.7,44,26.08,5.0,1.0,1.0,1.5,beaujolais-villages,"[(80, 'gamay')]"
Huis Clos Rouge,Clos de l'Amandaie,2020.0,3.9,349,12.15,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pessac-Léognan (Grand Cru Classé de Graves),Château Latour-Martillac,2012.0,4.0,1678,72.18,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Julien (Grand Cru Classé),Château Léoville Poyferré,1984.0,4.3,59,180.0,4.5,4.0,1.0,4.5,saint-julien,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Cheval Blanc,2008.0,4.6,676,1574.3,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bourgogne Hautes Côtes de Nuits Rouge,Henri Naudin-Ferrand,2022.0,4.0,349,50.58,4.5,3.0,1.0,2.5,cote-de-nuits,"[(14, 'pinot-noir')]"
Mazoyères-Chambertin Grand Cru (Vieilles Vignes),Domaine Perrot-Minot,2022.0,4.4,971,860.82,4.5,3.0,1.0,2.5,mazoyeres-chambertin,"[(14, 'pinot-noir')]"
Bourgogne Rouge,Domaine Tollot-Beaut,2023.0,3.9,1350,36.05,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Gevrey-Chambertin 1er Cru 'Lavaux St Jacques',Domaine Tortochot,2013.0,4.1,77,49.0,4.5,3.0,1.0,2.5,gevrey-chambertin-lavaut-st-jacques,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château La Couspaude,1998.0,4.3,171,87.12,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Margaux (Grand Cru Classé),Château Dauzac,1989.0,4.3,146,65.0,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Côte de Nuits Villages,Ardhuy,2023.0,4.1,148,30.65,4.5,3.0,1.0,2.5,cote-de-nuits-villages,"[(14, 'pinot-noir')]"
Margaux (Grand Cru Classé),Château Kirwan,1989.0,4.2,138,216.04,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Auxey-Duresses,Vincent Prunier,2012.0,3.7,39,16.04,4.0,2.5,1.0,2.0,auxey-duresses,"[(14, 'pinot-noir')]"
Castillon - Côtes de Bordeaux,Château Peyrou,2014.0,3.5,89,22.7,4.0,4.0,1.0,4.0,cotes-de-castillon,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Blason de L’Evangile Pomerol,Château l'Évangile,2023.0,4.2,3028,39.83,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Beaune 1er Cru 'Le Clos du Roi',Domaine Loïs Dufouleur,2022.0,4.2,292,42.0,4.0,2.5,1.0,2.0,beaune-clos-du-roi,"[(14, 'pinot-noir')]"
Volnay 1er Cru 'Fremiets',Comte Armand,2019.0,4.3,155,147.28,4.0,2.5,1.0,2.0,volnay-fremiets,"[(14, 'pinot-noir')]"
Vosne-Romanée 1er Cru 'Clos des Réas',Michel Gros,2022.0,4.3,3661,138.0,4.5,3.0,1.0,2.5,vosne-romanee-clos-des-reas,"[(14, 'pinot-noir')]"
