wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Lucile Avril Châteauneuf-du-Pape,Domaine Durieu,2013,4.1,229,84.0,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Pinot Noir Arbois,Fruitière Vinicole de Pupillin,2023,3.4,229,11.1,4.5,3.0,1.5,3.0,arbois,"[(14, 'pinot-noir'), (174, 'trousseau'), (1374, 'poulsard')]"
Les 8 Ouvrèes Nuits-Saint-Georges Premier Cru 'Aux Perdrix',Domaine des Perdrix,2018,4.3,397,122.5,4.5,3.0,1.0,2.5,nuits-saint-georges-aux-perdrix,"[(14, 'pinot-noir')]"
Pomerol,Château Haut-Maillet,2014,4.0,437,119.49,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,Clos Rene,1988,4.2,36,62.72,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château Bergat,1999,4.0,412,75.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Simon Pic Saint Loup,Clos Marie,2013,3.8,241,34.5,4.0,4.0,1.0,4.0,pic-saint-loup,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Réserve de Beauvernay Juliénas,Cave de Chaintré,2023,3.9,53,11.7,5.0,1.0,1.0,1.5,julienas,"[(80, 'gamay')]"
Vosne-Romanée 1er Cru 'Les Chaumes',Domaine Nicole Lamarche (François Lamarche),1996,4.2,732,140.17,4.5,3.0,1.0,2.5,vosne-romanee-les-chaumes,"[(14, 'pinot-noir')]"
Cuvée Da Capo Châteauneuf-du-Pape,Pegau,2016,4.5,144,480.0,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Beaune 1er Cru Les Greves,Jean-Claude Boisset,2022,4.1,525,74.12,4.0,2.5,1.0,2.0,beaune-premier-cru,"[(14, 'pinot-noir')]"
Nuits-Saint-Georges 1er Cru Clos de La Maréchale,Domaine Faiveley,1998,3.9,30,143.0,4.5,3.0,1.0,2.5,nuits-saint-georges,"[(14, 'pinot-noir')]"
Promesse Côte-Rotie,Domaine Christophe Pichon,2021,4.0,35,77.22,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Terres Brunes Arbin Mondeuse,André et Michel Quenard,2021,3.9,36,19.0,4.0,2.5,1.0,2.5,savoie,"[(14, 'pinot-noir'), (80, 'gamay'), (1232, 'mondeuse-noire')]"
Veyrac,Cave de l'Ormarine,2018,3.6,169,5.85,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Nuits-Saint-Georges,Henri de Villamont,1976,3.7,254,45.0,4.5,3.0,1.0,2.5,nuits-saint-georges,"[(14, 'pinot-noir')]"
Odin Rouge,Bruno Duchêne,2022,4.0,124,27.5,4.0,4.0,1.0,4.0,collioure,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Vieilles Vignes Gevrey-Chambertin,Harmand-Geoffroy,2019,4.2,97,95.04,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Les Souteyrades Vieilles Vignes Gigondas,Saint-Damien,2007,4.1,111,106.93,3.5,4.0,1.0,3.5,gigondas,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Meursault,Domaine du Pavillon,2021,4.1,129,60.0,4.0,2.5,1.0,2.0,meursault,"[(14, 'pinot-noir')]"
Vieilles Vignes Pommard,Domaine Vincent Latour,2016,4.2,32,140.07,4.0,2.5,1.0,2.0,pommard,"[(14, 'pinot-noir')]"
Nuits-Saint-Georges Premier Cru 'Les Murgers',Domaine Bertagna,2018,4.0,26,471.79,4.5,3.0,1.0,2.5,nuits-saint-georges-aux-murgers,"[(14, 'pinot-noir')]"
Pessac-Léognan,Domaine de la Solitude,2015,4.0,417,24.17,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Le Corton Grand Cru,Bouchard Père & Fils,2015,4.3,125,128.33,4.0,2.5,1.0,2.0,corton,"[(14, 'pinot-noir')]"
Côté Mer Collioure Rouge,Domaine de la Rectorie,2023,4.0,59,18.9,4.0,4.0,1.0,4.0,collioure,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Echezeaux Grand Cru,Mongeard-Mugneret,1996,4.3,1240,444.42,4.5,3.0,1.0,2.5,echezeaux,"[(14, 'pinot-noir')]"
Drevon Côte Rôtie,Domaine de Rosiers,2020,4.1,50,70.0,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Clos Sauveplane Faugères,Frédéric Brouca,2016,3.6,28,40.28,4.0,4.0,1.0,4.0,faugeres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pauillac (Grand Cru Classé),Château Pédesclaux,1983,4.1,17791,158.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Margaux (Grand Cru Classé),Château Brane-Cantenac,1978,4.1,182,130.0,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Cahors Malbec,Clos La Coutale,2020,3.9,920,19.9,3.0,4.0,1.0,3.5,cahors,"[(9, 'malbec')]"
