wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Cuvée Vieilles Vignes,Domaine du Cros,2020,3.8,49,27.74,4.5,4.5,1.5,4.0,marcillac,Unknown
Gevrey-Chambertin 'Champerrier' Vigne Centenaire,Marchand Grillot,2022,4.2,168,104.51,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Fleurie,Jane Eyre,2019,3.9,29,31.1,5.0,1.0,1.0,1.5,fleurie,"[(80, 'gamay')]"
Rouge,Chante Cocotte,2012,4.2,25,57.6,4.0,4.0,1.0,4.0,vin-de-pays-doc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Cheval Blanc,1990,4.7,896,1242.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Savigny-les-Beaune,Domaine Nicolas Rossignol,2022,4.1,870,56.83,4.0,2.5,1.0,2.0,savigny-les-beaune,"[(14, 'pinot-noir')]"
Morey-Saint-Denis Trilogie,Hubert Lignier,2022,4.2,521,82.0,4.5,3.0,1.0,2.5,morey-saint-denis,"[(14, 'pinot-noir')]"
Bandol Rouge,Château Ste Anne,2018,3.8,75,39.53,3.0,4.0,1.5,4.0,bandol,"[(1, 'shiraz-syrah'), (2, 'cabernet-sauvignon'), (8, 'grenache-noir'), (22, 'mourvedre'), (41, 'carignane'), (583, 'tibouren'), (614, 'cinsaut')]"
Cuvée de L'Oratoire,Château de Beaulieu,2012,3.8,146,21.0,4.5,4.5,1.5,4.0,cotes-du-marmandais,Unknown
Pommard 1er Cru 'Les Saussilles',Domaine Bernard Thierry Glantenay,1990,4.2,177,149.0,4.0,2.5,1.0,2.0,les-saussilles,"[(14, 'pinot-noir')]"
Secrets des Dames Ventoux,Mont Ventoux,2023,3.7,402,6.82,3.5,4.0,1.0,3.5,cotes-du-ventoux,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Château La Grave Fronsac,Paul Barre,2009,3.9,715,75.0,3.0,4.0,1.0,3.0,fronsac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Sancerre Rouge,Pascal Jolivet,2014,4.0,253,20.52,4.5,2.5,1.0,2.5,sancerre,"[(3, 'cabernet-franc'), (14, 'pinot-noir'), (80, 'gamay'), (404, 'grolleau')]"
Réserve de Famille,Château Martet,2021,4.2,97,49.45,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Charmes-Chambertin Grand Cru,Domaine Dujac,2014,4.4,37,483.7,4.5,3.0,1.0,2.5,charmes-chambertin,"[(14, 'pinot-noir')]"
Côte-Rôtie So’Brune,Domaine Jean-Michel Stéphan,2019,4.3,88,139.11,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Gevrey-Chambertin 'Champerrier' Vigne Centenaire,Marchand Grillot,2019,4.2,168,84.56,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Lady Langoa Saint-Julien,Château Langoa Barton,2009,3.8,117,114.27,4.5,4.0,1.0,4.5,saint-julien,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Côtes-du-Rhône,Dauvergne Ranvier,2021,3.4,352,10.25,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Grenache Noir Sur Calcaire,Le Cartel,2024,4.0,133,40.82,2.5,3.5,1.0,3.0,corbieres,"[(8, 'grenache-noir')]"
Haut-Médoc,Château Ségur,1970,3.5,2924,56.0,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Estèphe,Jean-Michel Cazes,2019,4.0,69,30.64,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pauillac (Premier Grand Cru Classé),Château Mouton Rothschild,1974,4.4,420,560.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,Château Petit-Village,2005,4.3,360,84.0,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Médoc,Château Castera,2017,3.8,115,24.55,4.5,4.5,1.0,5.0,medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Aromes de Pavie Saint-Émilion Grand Cru,Château Pavie,2019,4.2,2687,90.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Juliénas,Cellier de la Vieille Eglise,2007,3.6,136,23.0,5.0,1.0,1.0,1.5,julienas,"[(80, 'gamay')]"
Graves Rouge,Château de Callac,2011,3.6,221,4.5,4.5,4.5,1.0,5.0,graves,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bourgogne Pinot Noir,Domaine Chanson,2022,3.8,110,35.32,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Pauillac (Grand Cru Classé),Château Lynch-Bages,2008,4.3,3538,130.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Chambertin Grand Cru,Domaine Armand Rousseau,2017,4.7,144,1884.38,4.5,3.0,1.0,2.5,chambertin,"[(14, 'pinot-noir')]"
Côtes-du-Rhône,Montjau,2023,3.7,390,15.93,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Savigny-lès-Beaune Clos Des Guettes Rouge,Louis Jadot - Domaine Gagey,2021,4.1,589,37.9,4.0,2.5,1.0,2.0,savigny-les-beaune,"[(14, 'pinot-noir')]"
Échezeaux Grand Cru,Domaine Vigot Fabrice,1996,4.3,135,434.27,4.5,3.0,1.0,2.5,echezeaux,"[(14, 'pinot-noir')]"
Nuits-Saint-Georges 1er Cru 'Les Perrières',Camille Giroud,1990,4.0,30,324.0,4.5,3.0,1.0,2.5,nuits-saint-georges-les-perrieres,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,1983,3.9,7669,70.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Chiroubles,Domaine Marcel Joubert,2022,4.0,286,16.9,5.0,1.0,1.0,1.5,chiroubles,"[(80, 'gamay')]"
Les Vergers Côtes-du-Rhône,Clusel-Roch,2022,4.2,326,34.0,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Mercurey La Perrière,Roux Père & Fils,2017,3.6,86,24.0,4.0,2.0,1.0,2.0,mercurey,"[(14, 'pinot-noir')]"
Haut-Bailly II (La Parde Haut-Bailly),Château Haut-Bailly,2023,3.9,5073,36.7,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Minervois Rouge,Les Combes Cachées,2020,3.9,207,20.9,4.0,4.0,1.0,4.0,minervois,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
La Fleur Fronsac,Château Chadenne,2009,3.7,79,12.51,3.0,4.0,1.0,3.0,fronsac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pillebourse Bordeaux Supérieur,Château Virecourt,2015,4.1,37,8.5,4.0,4.0,1.0,4.0,bordeaux-superieur,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Gevrey-Chambertin 1er Cru 'La Romanée' Monopole,Domaine des Varoilles,2016,4.3,93,155.27,4.5,3.0,1.0,2.5,gevrey-chambertin-la-romanee,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château La Clotte,2021,4.1,1816,158.27,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,Château Gombaude-Guillot,2016,4.3,403,75.9,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Cuvée Tradition Rouge,Château Fontarèche,2022,3.7,28,7.4,4.0,4.0,1.0,4.0,corbieres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Syrah L'Appel des Sereines,Francois Villard,2021,3.8,604,15.69,3.0,3.0,1.5,4.0,igp-collines-rhodaniennes,Unknown
Moulis-en-Médoc,Château Poujeaux,1997,4.1,270,57.66,4.0,4.5,1.0,5.0,moulis-en-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Nuits-Saint-Georges Premier Cru Aux Argillas,Philippe Pacalet,2022,4.3,405,249.8,4.5,3.0,1.0,2.5,nuits-saint-georges-premier-cru,"[(14, 'pinot-noir')]"
Grands-Échezeaux Grand Cru,Domaine Coquard Loison-Fleurot,2023,4.4,392,350.9,4.5,3.0,1.0,2.5,grands-echezeaux,"[(14, 'pinot-noir')]"
Aloxe-Corton,Henri Naudin-Ferrand,2018,3.8,27,120.0,4.0,2.5,1.0,2.0,aloxe-corton,"[(14, 'pinot-noir')]"
Lalande-de-Pomerol,Château les Templiers,1988,4.1,304,65.53,3.0,4.0,1.0,3.0,lalande-de-pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bandol Cuvée Cabassaou,Domaine Tempier,2020,4.5,32,123.0,3.0,4.0,1.5,4.0,bandol,"[(1, 'shiraz-syrah'), (2, 'cabernet-sauvignon'), (8, 'grenache-noir'), (22, 'mourvedre'), (41, 'carignane'), (583, 'tibouren'), (614, 'cinsaut')]"
Malbec de Silice Cahors,Château Saint-Sernin,2018,3.8,62,20.95,3.0,4.0,1.0,3.5,cahors,"[(9, 'malbec')]"
Cuvée A Saint-Chinian,Domaine Cathala,2023,4.0,241,9.7,4.0,4.0,1.0,4.0,saint-chinian,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Brouilly,Château de Saint Lager,2023,3.8,33,14.6,5.0,1.0,1.0,1.5,brouilly,"[(80, 'gamay')]"
Night Cost,Yann Durieux,2019,4.1,192,88.38,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Saint-Estèphe,Marquis de Saint-Estèphe,1970,3.7,1869,66.0,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pauillac (Premier Grand Cru Classé),Château Mouton Rothschild,1988,4.5,2714,335.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Lalande de Pomerol,Château Bertineau St.-Vincent,2017,4.1,35,45.45,3.0,4.0,1.0,3.0,lalande-de-pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pommard Premier Cru 'Grand Clos des Épenots',Domaine de Courcel,2021,4.2,2222,185.0,4.0,2.5,1.0,2.0,pommard-premier-cru,"[(14, 'pinot-noir')]"
Pernand-Vergelesses Premier Cru 'En Caradeux' Rouge,Remoissenet Père & Fils,2019,4.2,47,61.23,4.0,2.5,1.0,2.0,pernand-vergelesses-en-caradeux,"[(14, 'pinot-noir')]"
Rasteau 'Les Cras',Domaine du Trapadis,2020,3.9,213,14.3,3.5,4.0,1.0,3.5,rasteau,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Côte-Bodin Côte-Rôtie,Jean-Michel Gerin,2022,4.4,81,102.0,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Les Combettes,Domaine Anne Gros & Jean-Paul Tollot,2023,3.9,609,23.0,4.0,4.0,1.0,4.0,cotes-du-brian,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Haut-Médoc,Château de Malleret,2022,3.9,5387,23.0,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Chambolle-Musigny 1er Cru 'Les Feusselottes',Daniel Moine-Hudelot,2001,4.1,117,143.9,4.5,3.0,1.0,2.5,chambolle-musigny-les-feusselottes,"[(14, 'pinot-noir')]"
Marquis de Calon Saint-Estèphe,Château Calon-Ségur,2011,3.9,699,23.46,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Nectar Côtes de Bourg,Château de la Grave,2018,3.7,443,44.7,4.0,4.0,1.0,4.0,cotes-de-bourg,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Rosenberg Pinot Noir,Domaine Saint-Rémy,2023,3.6,179,25.95,4.0,2.0,1.0,2.0,alsace,"[(14, 'pinot-noir')]"
Le Vau Jaumier Saint-Nicolas-de-Bourgueil,Joel Taluau,2023,3.6,353,15.15,4.0,3.5,1.5,4.0,saint-nicolas-de-bourgueil,"[(3, 'cabernet-franc')]"
Chambolle-Musigny Premier Cru 'Les Noirots',Domaine François Legros,2019,4.2,188,101.52,4.5,3.0,1.0,2.5,chambolle-musigny-les-noirots,"[(14, 'pinot-noir')]"
Chante Perdrix Cornas,Delas,2017,4.1,105,35.0,3.5,5.0,1.0,3.5,cornas,"[(1, 'shiraz-syrah')]"
La Nine Minervois,Domaine Jean-Baptiste Senat,2018,3.8,111,26.63,4.0,4.0,1.0,4.0,minervois,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Constance Madiran,Domaine Berthoumieu,2021,3.9,1348,12.0,4.5,5.0,1.5,5.0,madiran,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (48, 'tannat'), (347, 'fer-servadou')]"
Pessac-Léognan,Château Larrivet Haut-Brion,1973,4.1,16806,78.0,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château Guadet,2004,4.2,56,32.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Vaucrains Nuits-Saint-Georges 1er Cru,Domaine Jean Chauvenet,2010,4.1,391,118.48,4.5,3.0,1.0,2.5,nuits-saint-georges-les-vaucrains,"[(14, 'pinot-noir')]"
Saint-Joseph Cavanos,Yves Cuilleron,2015,3.9,346,31.68,3.5,4.5,1.0,3.5,saint-joseph,"[(1, 'shiraz-syrah')]"
Les Remparts de Ferrière Margaux,Château Ferrière,2016,3.9,81,46.92,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Volnay-Santenots 1er Cru,Darviot-Perrin,2001,4.1,110,96.2,4.0,2.5,1.0,2.0,volnay-santenots,"[(14, 'pinot-noir')]"
Cœur de Vieilles Vignes Madiran,Château Bouscassé,2018,3.8,64,23.73,4.5,5.0,1.5,5.0,madiran,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (48, 'tannat'), (347, 'fer-servadou')]"
François de Tournon Saint-Joseph,Delas,2017,3.9,159,38.5,3.5,4.5,1.0,3.5,saint-joseph,"[(1, 'shiraz-syrah')]"
Les Eygats Cornas,Domaine Courbis,2018,4.3,46,79.0,3.5,5.0,1.0,3.5,cornas,"[(1, 'shiraz-syrah')]"
Château Grand Moulin Haut-Médoc,Uni Medoc,1985,3.7,110,56.88,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Beausejour (héritiers Duffau-Lagarrosse),2009,4.4,153,345.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Vieilles Vignes Aux Corvées Gevrey-Chambertin,S.C. Guillard,2015,4.3,67,56.38,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Chambolle-Musigny,Hudelot-Noëllat,2016,4.0,151,93.84,4.5,3.0,1.0,2.5,chambolle-musigny,"[(14, 'pinot-noir')]"
Pomerol,Château Clinet,2019,4.3,191,165.0,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,Château Le Gay,2013,4.3,145,74.17,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Châteauneuf-du-Pape Barbe Rac ,M. Chapoutier,2022,4.2,2498,93.67,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Haut-Médoc,Château Saint-Paul,1988,3.7,2891,45.0,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Seigneur de Lauret Pic Saint Loup,Les Coteaux du Pic,2023,3.8,1540,8.29,4.0,4.0,1.0,4.0,pic-saint-loup,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Le Pas de L'Aigle Terroir d'Exception Gigondas Grande Réserve,Pierre Amadieu,2020,4.2,87,46.11,3.5,4.0,1.0,3.5,gigondas,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Côtes-du-Rhône,Domaine Font de Michelle,2021,3.7,370,21.35,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Faugères,Leon Barral,2010,4.1,384,82.5,4.0,4.0,1.0,4.0,faugeres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pernand-Vergelesses Premier Cru 'Les Vergelesses',Domaine Dubuet-Monthelie,2023,4.0,130,57.0,4.0,2.5,1.0,2.0,pernand-vergelesses-vergelesses,"[(14, 'pinot-noir')]"
Gevrey-Chambertin,Domaine Chanson,2014,4.1,260,75.03,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Grande Cuvée Faugères,Domaine Valambelle,2018,4.1,131,18.0,4.0,4.0,1.0,4.0,faugeres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Légende,Mas Amiel,2021,3.9,553,29.0,4.0,4.0,1.0,4.0,maury,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pomerol,Château du Domaine de l'Eglise,2017,4.3,118,45.83,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Larmanela,Bergerie du Capucin,2020,4.1,633,29.0,4.0,4.0,1.0,4.0,pic-saint-loup,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Saint-Estèphe,Château Coutelin-Merville,2020,3.9,5185,27.24,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Julien (Grand Cru Classé),Château Branaire-Ducru,1977,4.1,28253,95.0,4.5,4.0,1.0,4.5,saint-julien,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pinot Noir,Domaine Bruno Sorg,2023,3.9,472,26.49,4.0,2.0,1.0,2.0,alsace,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château de Ferrand,2014,3.9,718,38.75,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pauillac,Château Cordeillan-Bages,2005,4.2,74,123.34,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château Cap de Mourlin,2015,4.0,325,51.04,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Estèphe,Château Phélan Ségur,2003,4.1,838,75.0,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Peyrouses,Guillaume Gilles,2018,3.8,43,114.78,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Autrefois Ventoux,Domaine Champ-Long,2021,4.0,166,29.95,3.5,4.0,1.0,3.5,cotes-du-ventoux,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Gigondas,Jacques Dunay,2020,4.0,49,23.95,3.5,4.0,1.0,3.5,gigondas,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Domaine Sainte Claire Irancy,Jean-Marc Brocard,2024,3.4,60,21.49,4.0,2.5,1.0,2.0,irancy,"[(14, 'pinot-noir')]"
Pessac-Léognan (Grand Cru Classé de Graves),Château Latour-Martillac,1996,4.3,121,90.0,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Tradition Corbières,Château Reveillon,2022,3.5,44,9.75,4.0,4.0,1.0,4.0,corbieres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Beaune 1er Cru 'Clos des Mouches',Joseph Drouhin,1996,4.4,228,226.0,4.0,2.5,1.0,2.0,beaune-le-clos-des-mouches,"[(14, 'pinot-noir')]"
Francs - Côtes de Bordeaux,Château Godard,2019,3.7,56,21.71,4.0,4.0,1.0,4.0,cotes-de-francs,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Médoc,Château Lassus,2020,3.5,1700,10.99,4.5,4.5,1.0,5.0,medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Marie Antoinette Corbières,Aubert et Mathieu,2023,4.0,631,11.95,4.0,4.0,1.0,4.0,corbieres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Marsannay Champs Perdrix,Géantet-Pansiot,2022,4.0,645,54.05,4.5,3.0,1.0,2.5,marsannay,"[(14, 'pinot-noir')]"
Sancerre Maulin Bèle Rouge,André Vatan,2022,4.1,29,28.95,4.5,2.5,1.0,2.5,sancerre,"[(3, 'cabernet-franc'), (14, 'pinot-noir'), (80, 'gamay'), (404, 'grolleau')]"
Vosne-Romanée 1er Cru 'Aux Malconsorts',Domaine Dujac,2011,4.4,112,590.64,4.5,3.0,1.0,2.5,vosne-romanee-aux-malconsorts,"[(14, 'pinot-noir')]"
Santenay Premier Cru Beauregard,Edouard Delaunay,2017,4.1,27,54.56,4.0,2.5,1.0,2.0,santenay-premier-cru,"[(14, 'pinot-noir')]"
Vendanges Entières Sancerre Rouge,Vincent Pinard,2017,4.2,508,80.45,4.5,2.5,1.0,2.5,sancerre,"[(3, 'cabernet-franc'), (14, 'pinot-noir'), (80, 'gamay'), (404, 'grolleau')]"
Crozes-Hermitage Rouge,Combier,2018,4.1,642,29.78,3.0,4.0,1.0,3.5,crozes-hermitage,"[(1, 'shiraz-syrah')]"
Shiraz,Pyren Vineyard,2021,3.9,150,23.03,4.5,4.5,1.5,4.0,pyrenes,Unknown
Cornas 'Reynard',Thierry Allemand,2012,4.5,114,350.0,3.5,5.0,1.0,3.5,cornas,"[(1, 'shiraz-syrah')]"
